title,price,surface,rooms,baths,garages,private area,builded area,estrato,antiquity,price m2,administration
BARI,Desde $ 179.808.000 Hasta $ 189.108.000,"64,11 m²",3,2,nan,"60,90m²","64,11m²",3,nan,nan,nan
RESERVA DE BÚCAROS,Desde $ 151.012.000 Hasta $ 313.871.000,"43,60 a 105,60 m²",1,2,1,"38,94a97,21m²","43,60a105,60m²",3,nan,nan,nan
RESERVA DE BÚCAROS,Desde $ 151.012.000 Hasta $ 313.871.000,"43,60 a 105,60 m²",1,2,1,"38,94a97,21m²","43,60a105,60m²",3,nan,nan,nan
BARI,Desde $ 179.808.000 Hasta $ 189.108.000,"64,11 m²",3,2,nan,"60,90m²","64,11m²",3,nan,nan,nan
RESERVA DE BÚCAROS,Desde $ 151.012.000 Hasta $ 313.871.000,"43,60 a 105,60 m²",1,2,1,"38,94a97,21m²","43,60a105,60m²",3,nan,nan,nan
RESERVA DE BÚCAROS,Desde $ 151.012.000 Hasta $ 313.871.000,"43,60 a 105,60 m²",1,2,1,"38,94a97,21m²","43,60a105,60m²",3,nan,nan,nan
RESERVA DE BÚCAROS,Desde $ 151.012.000 Hasta $ 313.871.000,"43,60 a 105,60 m²",1,2,1,"38,94a97,21m²","43,60a105,60m²",3,nan,nan,nan
RESERVA DE BÚCAROS,Desde $ 151.012.000 Hasta $ 313.871.000,"43,60 a 105,60 m²",1,2,1,"38,94a97,21m²","43,60a105,60m²",3,nan,nan,nan
RESERVA DE BÚCAROS,Desde $ 151.012.000 Hasta $ 313.871.000,"43,60 a 105,60 m²",1,2,1,"38,94a97,21m²","43,60a105,60m²",3,nan,nan,nan
RESERVA DE BÚCAROS,Desde $ 151.012.000 Hasta $ 313.871.000,"43,60 a 105,60 m²",1,2,1,"38,94a97,21m²","43,60a105,60m²",3,nan,nan,nan
RESERVA DE BÚCAROS,Desde $ 151.012.000 Hasta $ 313.871.000,"43,60 a 105,60 m²",1,2,1,"38,94a97,21m²","43,60a105,60m²",3,nan,nan,nan
Apartamento en Venta Bello FLORIDA NORTEAMERICA,$ 350.000.000,"103,00 m²",3,2,1,nan,"103,00m²",nan,nan,3.398.058/m²,"$198,000"
Apartamento en Venta Bello NIQUIA,$ 370.000.000,"91,00 m²",3,2,2,nan,"91,00m²",5,1a8años,4.065.934/m²,"$196,500"
Apartamento en Venta Bello La madera Bello,$ 172.000.000,"58,00 m²",2,2,nan,"58,00m²","58,00m²",3,1a8años,2.965.517/m²,"$116,950"
Apartamento en Venta Bello Las Cabañas,$ 210.000.000,"55,00 m²",3,2,1,nan,"55,00m²",nan,nan,3.818.182/m²,nan
Apartamento en Venta Bello Niquia,$ 150.000.000,"58,00 m²",3,2,nan,nan,"58,00m²",3,nan,2.586.207/m²,nan
MONTANA,Desde $ 562.600.000 Hasta $ 602.600.000,"126,14 m²",3,4,2,nan,"126,14m²",4,nan,nan,nan
