title,price,surface,rooms,baths,garages,private area,builded area,estrato,antiquity,price m2,administration
Moka Apartamentos,Desde $ 390.000.000 Hasta $ 583.130.400,"76,00 a 118,00 m²",2,2,2,nan,"76,00a118,00m²",5,nan,nan,nan
Apartamento en Venta El Retiro El Retiro,$ 330.000.000,"68,00 m²",2,2,1,nan,"68,00m²",5,nan,4.852.941/m²,"$170,000"
Apartamento en Venta El Retiro EL RETIRO,$ 295.000.000,"60,00 m²",2,2,1,"99,00m²","60,00m²",4,1a8años,4.916.667/m²,"$180,000"
AVANTI,Desde $ 239.687.000 Hasta $ 405.928.824,"47,50 a 79,57 m²",1,1,1,"46,34a76,76m²","47,50a79,57m²",4,nan,nan,nan
Apartamento en Venta El Retiro Via pantanillo,$ 340.000.000,"78,00 m²",2,2,1,"78,00m²","78,00m²",3,Menosde1año,4.358.974/m²,"$246,000"
AVANTI,Desde $ 239.687.000 Hasta $ 405.928.824,"47,50 a 79,57 m²",1,1,1,"46,34a76,76m²","47,50a79,57m²",4,nan,nan,nan
AVANTI,Desde $ 239.687.000 Hasta $ 405.928.824,"47,50 a 79,57 m²",1,1,1,"46,34a76,76m²","47,50a79,57m²",4,nan,nan,nan
Apartamento en Venta El Retiro EL RETIRO,$ 275.000.000,"65,00 m²",2,2,1,"65,00m²","65,00m²",4,1a8años,4.230.769/m²,"$121,968"
Apartamento en Venta El Retiro Acuarela,$ 145.000.000,"56,00 m²",3,1,nan,"56,00m²","56,00m²",3,9a15años,2.589.286/m²,nan
Apartamento en Venta El Retiro El retiro,$ 360.000.000,"94,00 m²",2,2,1,nan,"94,00m²",5,Menosde1año,3.829.787/m²,"$270,000"
Apartamento en Venta El Retiro El Plan,$ 220.000.000,"90,00 m²",3,2,1,"90,00m²","90,00m²",5,1a8años,2.444.444/m²,nan
Moka Apartamentos,Desde $ 390.000.000 Hasta $ 583.130.400,"76,00 a 118,00 m²",2,2,2,nan,"76,00a118,00m²",5,nan,nan,nan
Apartamento en Venta El Retiro Via La Maria,$ 620.000.000,"150,00 m²",4,2,2,"500,00m²","150,00m²",3,nan,4.133.333/m²,nan
AVANTI,Desde $ 239.687.000 Hasta $ 405.928.824,"47,50 a 79,57 m²",1,1,1,"46,34a76,76m²","47,50a79,57m²",4,nan,nan,nan
Apartamento en Venta El Retiro el retiro,$ 305.000.000,"61,00 m²",2,2,1,"61,00m²","61,00m²",5,Menosde1año,5.000.000/m²,nan
Apartamento en Venta El Retiro Sierragrande,$ 750.000.000,"114,00 m²",2,3,2,"114,00m²","114,00m²",6,Menosde1año,6.578.947/m²,nan
Moka Apartamentos,Desde $ 390.000.000 Hasta $ 583.130.400,"76,00 a 118,00 m²",2,2,2,nan,"76,00a118,00m²",5,nan,nan,nan
Apartamento en Venta El Retiro EL RETIRO,$ 600.000.000,"112,00 m²",2,2,2,"112,00m²","112,00m²",5,1a8años,5.357.143/m²,"$400,000"
Apartamento en Venta El Retiro EL RETIRO,$ 365.000.000,"77,00 m²",3,2,1,"77,00m²","77,00m²",4,1a8años,4.740.260/m²,"$180,000"
Moka Apartamentos,Desde $ 390.000.000 Hasta $ 583.130.400,"76,00 a 118,00 m²",2,2,2,nan,"76,00a118,00m²",5,nan,nan,nan
Apartamento en Venta El Retiro El Retiro,$ 334.700.000,"67,00 m²",2,2,1,nan,"67,00m²",4,Menosde1año,4.995.522/m²,nan
Apartamento en Venta El Retiro EL RETIRO,$ 360.000.000,"63,00 m²",2,2,1,"63,00m²","63,00m²",5,Menosde1año,5.714.286/m²,"$165,000"
EXCLUSIVOS APARTAMENTOS EN RETIRO DEL VIENTO,$ 170.000.000,"54,00 m²",3,3,nan,nan,"54,00m²",3,nan,nan,nan
Apartamento en Venta El Retiro El Retiro,$ 393.000.000,"76,00 m²",3,2,1,nan,"76,00m²",4,nan,5.171.053/m²,nan
Apartamento en Venta El Retiro EL RETIRO,$ 325.000.000,"77,00 m²",3,2,1,"77,00m²","77,00m²",4,1a8años,4.220.779/m²,"$180,000"
AVANTI,Desde $ 239.687.000 Hasta $ 405.928.824,"47,50 a 79,57 m²",1,1,1,"46,34a76,76m²","47,50a79,57m²",4,nan,nan,nan
Apartamento en Venta El Retiro fizebad,$ 350.000.000,"69,00 m²",1,1,1,"18,00m²","69,00m²",5,1a8años,5.072.464/m²,"$474,000"
Apartamento en Venta El Retiro Carabanchel,$ 340.000.000,"68,00 m²",1,2,1,nan,"68,00m²",5,1a8años,5.000.000/m²,nan
Apartamento en Venta El Retiro Retiro,$ 305.000.000,"79,00 m²",3,2,1,nan,"79,00m²",5,1a8años,3.860.759/m²,"$348,000"
Apartamento en Venta El Retiro calle 18,$ 220.000.000,"81,00 m²",3,2,nan,nan,"81,00m²",3,Menosde1año,2.716.049/m²,nan
Apartamento en Venta El Retiro Pempenao,$ 320.000.000,"60,00 m²",2,2,1,"60,00m²","60,00m²",4,1a8años,5.333.333/m²,"$170,000"
Apartamento en Venta El Retiro bicentenrio,$ 175.000.000,"63,00 m²",3,2,nan,"63,00m²","63,00m²",3,1a8años,2.777.778/m²,"$35,000E"
Apartamento en Venta El Retiro bicentenario,$ 311.000.000,"61,00 m²",2,2,1,"61,00m²","61,00m²",6,1a8años,5.098.361/m²,"$123,662"
Apartamento en Venta El Retiro Via Pantanillo,$ 360.000.000,"94,00 m²",2,2,1,"78,00m²","94,00m²",4,1a8años,3.829.787/m²,"$200,000"
Apartamento en Venta El Retiro EL RETIRO,$ 300.000.000,"200,00 m²",2,2,1,nan,"200,00m²",5,nan,1.500.000/m²,nan
Apartamento en Venta El Retiro EL RETIRO,$ 300.000.000,"90,00 m²",3,2,1,"90,00m²","90,00m²",4,Menosde1año,3.333.333/m²,nan
Apartamento en Venta El Retiro Bosques de Normandia,$ 275.000.000,"73,00 m²",2,2,2,"61,00m²","73,00m²",4,Menosde1año,3.767.123/m²,"$145,000"
Apartamento en Venta El Retiro El Retiro,$ 316.800.000,"89,00 m²",3,2,1,nan,"89,00m²",3,1a8años,3.559.551/m²,nan
Moka Apartamentos,Desde $ 390.000.000 Hasta $ 583.130.400,"76,00 a 118,00 m²",2,2,2,nan,"76,00a118,00m²",5,nan,nan,nan
Apartamento en Venta El Retiro EL RETIRO,$ 300.000.000,"90,00 m²",3,2,1,"90,00m²","90,00m²",4,Menosde1año,3.333.333/m²,nan
Apartamento en Venta El Retiro Zona Urbana,$ 230.000.000,"95,00 m²",2,2,nan,"95,00m²","95,00m²",3,nan,2.421.053/m²,"$20,000E"
Moka Apartamentos,Desde $ 390.000.000 Hasta $ 583.130.400,"76,00 a 118,00 m²",2,2,2,nan,"76,00a118,00m²",5,nan,nan,nan
Apartamento en Venta El Retiro EL RETIRO,$ 300.000.000,"60,00 m²",2,2,1,"60,00m²","60,00m²",4,1a8años,5.000.000/m²,nan
Apartamento en Venta El Retiro bicenterio,$ 145.000.000,"60,00 m²",3,2,nan,"60,00m²","60,00m²",3,1a8años,2.416.667/m²,"$25,000E"
AVANTI,Desde $ 239.687.000 Hasta $ 405.928.824,"47,50 a 79,57 m²",1,1,1,"46,34a76,76m²","47,50a79,57m²",4,nan,nan,nan
Apartamento en Venta El Retiro Cerca Al Parque,$ 185.600.000,"58,00 m²",2,1,nan,"58,00m²","58,00m²",3,nan,3.200.000/m²,nan
AVANTI,Desde $ 239.687.000 Hasta $ 405.928.824,"47,50 a 79,57 m²",1,1,1,"46,34a76,76m²","47,50a79,57m²",4,nan,nan,nan
Moka Apartamentos,Desde $ 390.000.000 Hasta $ 583.130.400,"76,00 a 118,00 m²",2,2,2,nan,"76,00a118,00m²",5,nan,nan,nan
Apartamento en Venta El Retiro Pantanillo,$ 290.000.000,"68,00 m²",2,2,1,"68,00m²","68,00m²",4,1a8años,4.264.706/m²,"$220,000"
Apartamento en Venta El Retiro EL RETIRO,$ 280.000.000,"60,00 m²",2,2,nan,"60,00m²","60,00m²",4,Menosde1año,4.666.667/m²,nan
Apartamento en Venta El Retiro LA ALDEA,$ 190.000.000,"1,00 m²",3,2,nan,nan,"1,00m²",3,nan,190.000.000/m²,nan
Apartamento en Venta El Retiro Fizebad,$ 750.000.000,"115,00 m²",2,3,2,nan,"115,00m²",5,Menosde1año,6.521.739/m²,"$350,000"
Moka Apartamentos,Desde $ 390.000.000 Hasta $ 583.130.400,"76,00 a 118,00 m²",2,2,2,nan,"76,00a118,00m²",5,nan,nan,nan
Apartamento en Venta El Retiro Puro Cuero,$ 311.000.000,"61,00 m²",2,2,1,nan,"61,00m²",4,1a8años,5.098.361/m²,"$123,662"
AVANTI,Desde $ 239.687.000 Hasta $ 405.928.824,"47,50 a 79,57 m²",1,1,1,"46,34a76,76m²","47,50a79,57m²",4,nan,nan,nan
Apartamento en Venta El Retiro EL RETIRO,$ 180.000.000,"54,00 m²",3,2,nan,"54,00m²","54,00m²",3,16a30años,3.333.333/m²,nan
Apartamento en Venta El Retiro Retiro del Viento,$ 196.000.000,"56,00 m²",3,2,nan,"56,00m²","56,00m²",3,nan,3.500.000/m²,nan
Moka Apartamentos,Desde $ 390.000.000 Hasta $ 583.130.400,"76,00 a 118,00 m²",2,2,2,nan,"76,00a118,00m²",5,nan,nan,nan
Apartamento en Venta El Retiro Retiro del Viento,$ 190.000.000,"54,00 m²",3,2,nan,"54,00m²","54,00m²",3,1a8años,3.518.519/m²,"$10,000E"
Apartamento en Venta El Retiro EL RETIRO,$ 170.000.000,"56,00 m²",3,2,nan,"56,00m²","56,00m²",3,nan,3.035.714/m²,nan
AVANTI,Desde $ 239.687.000 Hasta $ 405.928.824,"47,50 a 79,57 m²",1,1,1,"46,34a76,76m²","47,50a79,57m²",4,nan,nan,nan
Apartamento en Venta El Retiro El Retiro,$ 350.000.000,"65,00 m²",1,2,1,nan,"65,00m²",5,1a8años,5.384.615/m²,"$400,000"
Apartamento en Venta El Retiro El Retiro,$ 340.000.000,"78,00 m²",2,2,1,nan,"78,00m²",4,Menosde1año,4.358.974/m²,"$160,000"
AVANTI,Desde $ 239.687.000 Hasta $ 405.928.824,"47,50 a 79,57 m²",1,1,1,"46,34a76,76m²","47,50a79,57m²",4,nan,nan,nan
Apartamento en Venta El Retiro EL RETIRO,$ 590.000.000,"107,00 m²",2,2,2,"107,00m²","107,00m²",5,1a8años,5.514.019/m²,nan
Apartamento en Venta El Retiro EL RETIRO,$ 320.000.000,"74,00 m²",2,2,1,"74,00m²","74,00m²",4,Menosde1año,4.324.324/m²,nan
EXCLUSIVOS APARTAMENTOS EN RETIRO DEL VIENTO,$ 170.000.000,"54,00 m²",3,3,nan,nan,"54,00m²",3,nan,nan,nan
Apartamento en Venta El Retiro PEMPENAO,$ 300.000.000,"57,00 m²",2,2,nan,"60,00m²","57,00m²",5,1a8años,5.263.158/m²,"$134,000"
Apartamento en Venta El Retiro El Retiro,$ 369.839.000,"89,00 m²",3,2,1,nan,"89,00m²",5,nan,4.155.494/m²,nan
Apartamento en Venta El Retiro El Retiro,$ 370.000.000,"65,00 m²",1,2,1,nan,"65,00m²",5,nan,5.692.308/m²,nan
Apartamento en Venta El Retiro EL RETIRO,$ 680.000.000,"118,00 m²",3,3,1,"118,00m²","118,00m²",5,1a8años,5.762.712/m²,"$515,000"
Apartamento en Venta El Retiro EL RETIRO,$ 700.000.000,"112,00 m²",3,3,2,"112,00m²","112,00m²",5,1a8años,6.250.000/m²,nan
Apartamento en Venta El Retiro EL Retiro,$ 293.700.000,"89,00 m²",3,2,1,nan,"89,00m²",3,1a8años,3.300.000/m²,nan
Apartamento en Venta El Retiro EL RETIRO,$ 330.000.000,"77,00 m²",3,2,1,"77,00m²","77,00m²",4,1a8años,4.285.714/m²,nan
Apartamento en Venta El Retiro El Retiro,$ 195.000.000,"56,00 m²",3,2,nan,nan,"56,00m²",3,nan,3.482.143/m²,nan
Apartamento en Venta El Retiro EL RETIRO,$ 665.000.000,"156,00 m²",2,2,2,"156,00m²","156,00m²",5,1a8años,4.262.821/m²,"$467,000"
Apartamento en Venta El Retiro Alameda del Rio,$ 350.000.000,"78,50 m²",2,2,1,"79,00m²","78,50m²",2,1a8años,4.458.599/m²,nan
Apartamento en Venta El Retiro EL RETIRO,$ 145.000.000,"31,00 m²",1,1,nan,"31,00m²","31,00m²",3,16a30años,4.677.419/m²,nan
Apartamento en Venta El Retiro EL RETIRO,$ 355.000.000,"82,00 m²",3,2,1,"82,00m²","82,00m²",5,1a8años,4.329.268/m²,nan
Moka Apartamentos,Desde $ 390.000.000 Hasta $ 583.130.400,"76,00 a 118,00 m²",2,2,2,nan,"76,00a118,00m²",5,nan,nan,nan
Apartamento en Venta El Retiro Zona Urbana,$ 375.580.000,"69,00 m²",2,2,1,"69,00m²","69,00m²",5,nan,5.443.188/m²,nan
Apartamento en Venta El Retiro EL RETIRO,$ 320.000.000,"66,00 m²",1,1,1,"66,00m²","66,00m²",5,1a8años,4.848.485/m²,"$363,253"
Moka Apartamentos,Desde $ 390.000.000 Hasta $ 583.130.400,"76,00 a 118,00 m²",2,2,2,nan,"76,00a118,00m²",5,nan,nan,nan
Apartamento en Venta El Retiro El Retiro,$ 190.000.000,"52,00 m²",3,2,nan,nan,"52,00m²",3,1a8años,3.653.846/m²,"$10,000E"
Apartamento en Venta El Retiro EL RETIRO,$ 260.000.000,"66,00 m²",2,2,1,"66,00m²","66,00m²",4,1a8años,3.939.394/m²,nan
AVANTI,Desde $ 239.687.000 Hasta $ 405.928.824,"47,50 a 79,57 m²",1,1,1,"46,34a76,76m²","47,50a79,57m²",4,nan,nan,nan
Apartamento en Venta El Retiro EL RETIRO,$ 800.000.000,"115,00 m²",2,2,1,"115,00m²","115,00m²",5,1a8años,6.956.522/m²,nan
AVANTI,Desde $ 239.687.000 Hasta $ 405.928.824,"47,50 a 79,57 m²",1,1,1,"46,34a76,76m²","47,50a79,57m²",4,nan,nan,nan
Moka Apartamentos,Desde $ 390.000.000 Hasta $ 583.130.400,"76,00 a 118,00 m²",2,2,2,nan,"76,00a118,00m²",5,nan,nan,nan
Apartamento en Venta El Retiro EL RETIRO,$ 450.000.000,"74,00 m²",2,2,1,"74,00m²","74,00m²",4,1a8años,6.081.081/m²,"$166,000"
