Price,Brand,Model,Version,Year,Milleage,Doors,Fuel,Shield,Color,Transmision,Direction,Traction,Only owner,Motor,Cylinders
19.000.000,Renault,Sandero,Modelo 2009,2009,156.752 km,5,Gasolina,FHI 747,nan,Mecánica,nan,nan,nan,nan,nan
19.500.000,Renault,Sandero,Dynamique,2011,84.500 km,5,Gasolina,BXW233,GrisEstrella,Mecánica,Hidráulica,4x2,nan,nan,nan
24.000.000,Renault,Sandero,Sandero Automatiq,2012,78.616 km,5,Gasolina,DJN676,nan,Automática,nan,nan,nan,nan,nan
21.000.000,Renault,Sandero,Gt music,2011,130.000 km,4,Gasolina,Khj020,nan,Mecánica,nan,nan,nan,nan,nan
25.000.000,Renault,Sandero,Expresión media nav,2015,69.000 km,5,Gasolina,Iax645,nan,Mecánica,nan,nan,nan,nan,nan
46.500.000,Renault,Sandero,2019,2019,517 km,4,Gasolina,lax617,nan,Mecánica,nan,nan,nan,nan,nan
22.500.000,Renault,Sandero,Sandero authentique,2015,84.540 km,5,Gasolina,MUK 562,nan,Mecánica,nan,nan,nan,nan,nan
33.800.000,Renault,Sandero,Sandero Life +,2019,19.700 km,5,Gasolina,ENY547,nan,Mecánica,nan,nan,nan,nan,nan
31.000.000,Renault,Sandero,trip advisor,2018,10 km,5,Gasolina,889,Gris,Mecánica,Hidráulica,4x2,nan,nan,nan
34.800.000,Renault,Sandero,Sandero,2018,1.900 km,5,Gasolina,EIN368,Blanco,Mecánica,nan,nan,nan,nan,nan
20.800.000,Renault,Sandero,Expresion,2014,123.000 km,4,Gasolina,7,nan,Mecánica,nan,nan,nan,nan,nan
18.899.999,Renault,Sandero,sandero GT,2010,118.000 km,5,Gasolina,dcv607,nan,Mecánica,Hidráulica,4x2,nan,nan,nan
18.500.000,Renault,Sandero,Sandero modelo 2009,2009,104.000 km,5,Gasolina,FHH425,nan,Mecánica,nan,nan,nan,nan,nan
19.000.000,Renault,Sandero,Dinamic,2011,74.000 km,5,Gasolina,KGH395,nan,Mecánica,nan,nan,nan,nan,nan
29.000.000,Renault,Sandero,Life,2019,37.000 km,5,Gasolina,EIP030,nan,Mecánica,nan,nan,nan,nan,nan
27.500.000,Renault,Sandero,sandero,2018,50.000 km,4,Gasolina,EIK330,Negro,Mecánica,nan,nan,nan,nan,nan
31.500.000,Renault,Sandero,RENAUL SANDERO,2016,48.600 km,5,Gasolina,IYP 607,Gris,Automática,Asistida,nan,nan,nan,nan
29.500.000,Renault,Sandero,dynamic 2016 aut,2016,49.000 km,5,Gasolina,law827,nan,Automática,nan,nan,nan,nan,nan
22.500.000,Renault,Sandero,autentic,2012,80.000 km,5,Gasolina,des005,grisazul,Mecánica,nan,nan,nan,nan,nan
32.500.000,Renault,Sandero,dynamique,2017,33.000 km,4,Gasolina,Xxx003,nan,Automática,nan,nan,nan,nan,nan
21.900.000,Renault,Sandero,hatchback,2011,36.000 km,4,Gasolina,-----8,Gris,Mecánica,Hidráulica,nan,nan,nan,nan
22.000.000,Renault,Sandero,Dynamique,2012,83.200 km,5,Gasolina,250,nan,Mecánica,nan,nan,nan,nan,nan
35.000.000,Renault,Sandero,Nigth and Day,2018,8.000 km,5,Gasolina,JKL273,Blanco,Mecánica,Hidráulica,4x4,Sí,nan,nan
28.500.000,Renault,Sandero,EXPRESSION 8v/AA/DH,2017,25.000 km,5,Gasolina,JCQ899,Plateado,Mecánica,Hidráulica,nan,nan,nan,nan
31.000.000,Renault,Sandero,trip advisor,2018,10.000 km,5,Gasolina,881,Gris,Mecánica,Hidráulica,4x2,Sí,nan,nan
22.000.000,Renault,Sandero,expression,2013,120.000 km,5,Gasolina,nan,nan,Mecánica,nan,nan,nan,nan,nan
29.000.000,Renault,Sandero,Sandero dynamique,2016,27.970 km,5,Gasolina,IOU625,Grisestrella,Mecánica,Asistida,4x2,nan,nan,nan
18.500.000,Renault,Sandero,renault sandero,2012,56.000 km,5,Gasolina,DIL464,grisestrella,Mecánica,Hidráulica,4x2,nan,nan,nan
