title,price,surface,rooms,baths,garages,private area,builded area,estrato,antiquity,price m2,administration
Apartamento en Venta La Ceja LA CEJA,$ 245.000.000,"60,00 m²",2,2,1,"60,00m²","60,00m²",4,Menosde1año,4.083.333/m²,nan
Apartamento en Venta La Ceja OTRO BARRIO,$ 250.000.000,"125,00 m²",3,2,1,"125,00m²","125,00m²",3,1a8años,2.000.000/m²,nan
Apartamento en Venta La Ceja LA CEJA,$ 225.000.000,"64,00 m²",2,2,1,"64,00m²","64,00m²",4,Menosde1año,3.515.625/m²,"$207,000"
Apartamento en Venta La Ceja San Cayetano,$ 240.000.000,"128,00 m²",3,2,1,"128,00m²","128,00m²",3,1a8años,1.875.000/m²,nan
Apartamento en Venta La Ceja PAYUCO,$ 280.000.000,"130,00 m²",3,3,nan,"130,00m²","130,00m²",3,1a8años,2.153.846/m²,nan
Apartamento en Venta La Ceja La Ceja,$ 170.000.000,"56,00 m²",3,2,1,nan,"56,00m²",3,1a8años,3.035.714/m²,"$97,434E"
Apartamento en Venta La Ceja LA CEJA,$ 180.000.000,"57,00 m²",2,2,1,"57,00m²","57,00m²",3,1a8años,3.157.895/m²,nan
Apartamento en Venta La Ceja LA CEJA,$ 260.000.000,"59,00 m²",2,2,1,"59,00m²","59,00m²",4,Menosde1año,4.406.780/m²,nan
PORTONOVO,Desde $ 181.027.000 Hasta $ 285.632.000,"55,36 a 89,26 m²",2,2,nan,nan,"55,36a89,26m²",4,nan,nan,nan
Apartamento en Venta La Ceja fatima,$ 181.027.200,"55,00 m²",2,2,nan,"55,00m²","55,00m²",4,Menosde1año,3.291.404/m²,"$120,000"
Apartamento en Venta La Ceja La Ceja,$ 240.000.000,"87,00 m²",3,2,1,nan,"87,00m²",4,1a8años,2.758.621/m²,nan
PORTONOVO,Desde $ 181.027.000 Hasta $ 285.632.000,"55,36 a 89,26 m²",2,2,nan,nan,"55,36a89,26m²",4,nan,nan,nan
Apartamento en Venta La Ceja la ceja,$ 210.000.000,"68,00 m²",2,2,1,"68,00m²","68,00m²",4,Menosde1año,3.088.235/m²,nan
Apartamento en Venta La Ceja PAYUCO,$ 260.000.000,"128,00 m²",3,3,nan,"128,00m²","128,00m²",3,1a8años,2.031.250/m²,nan
PORTONOVO,Desde $ 181.027.000 Hasta $ 285.632.000,"55,36 a 89,26 m²",2,2,nan,nan,"55,36a89,26m²",4,nan,nan,nan
Apartamento en Venta La Ceja LA CEJA,$ 200.000.000,"68,00 m²",3,2,nan,"68,00m²","68,00m²",4,1a8años,2.941.176/m²,"$50,000E"
PORTONOVO,Desde $ 181.027.000 Hasta $ 285.632.000,"55,36 a 89,26 m²",2,2,nan,nan,"55,36a89,26m²",4,nan,nan,nan
Apartamento en Venta La Ceja Villas de la Argentina,$ 160.000.000,"65,00 m²",3,2,nan,nan,"65,00m²",3,1a8años,2.461.538/m²,"$50,000E"
Apartamento en Venta La Ceja TORRE VERSALLES,$ 230.100.000,"78,00 m²",2,2,nan,"78,00m²","78,00m²",4,Menosde1año,2.950.000/m²,nan
Apartamento en Venta La Ceja LA CEJA,$ 210.000.000,"68,00 m²",2,2,2,"68,00m²","68,00m²",4,1a8años,3.088.235/m²,"$150,000"
Apartamento en Venta La Ceja TORRE VERSALLES,$ 191.160.000,"6.480,00 m²",2,2,nan,"6.480,00m²","6.480,00m²",4,Menosde1año,29.500/m²,nan
Edificio El Encanto,Desde $ 149.000.000 Hasta $ 173.000.000,"79,00 a 89,00 m²",3,2,nan,nan,"79,00a89,00m²",3,nan,nan,nan
Apartamento en Venta La Ceja LA CEJA,$ 235.000.000,"70,00 m²",3,2,1,"70,00m²","70,00m²",3,1a8años,3.357.143/m²,nan
PORTONOVO,Desde $ 181.027.000 Hasta $ 285.632.000,"55,36 a 89,26 m²",2,2,nan,nan,"55,36a89,26m²",4,nan,nan,nan
Apartamento en Venta La Ceja TORRE VERSALLES,$ 236.914.500,"8.031,00 m²",2,2,nan,"8.031,00m²","8.031,00m²",4,Menosde1año,29.500/m²,nan
Apartamento en Venta La Ceja PAYUCO,$ 165.000.000,"58,00 m²",3,2,nan,"58,00m²","58,00m²",4,Menosde1año,2.844.828/m²,nan
Edificio El Encanto,Desde $ 149.000.000 Hasta $ 173.000.000,"79,00 a 89,00 m²",3,2,nan,nan,"79,00a89,00m²",3,nan,nan,nan
Apartamento en Venta La Ceja El Carmelo,$ 250.000.000,"104,00 m²",2,2,1,"104,00m²","104,00m²",4,nan,2.403.846/m²,"$138,800"
Apartamento en Venta La Ceja LA CEJA,$ 295.000.000,"70,00 m²",3,2,1,"70,00m²","70,00m²",4,1a8años,4.214.286/m²,nan
PORTONOVO,Desde $ 181.027.000 Hasta $ 285.632.000,"55,36 a 89,26 m²",2,2,nan,nan,"55,36a89,26m²",4,nan,nan,nan
Apartamento en Venta La Ceja LA CEJA,$ 225.000.000,"65,00 m²",2,1,1,"65,00m²","65,00m²",4,1a8años,3.461.538/m²,"$152,000"
Apartamento en Venta La Ceja Payuco,$ 165.000.000,"58,00 m²",3,2,1,"58,00m²","58,00m²",4,Menosde1año,2.844.828/m²,nan
Apartamento en Venta La Ceja LA CEJA,$ 220.000.000,"78,00 m²",3,2,1,"78,00m²","78,00m²",4,1a8años,2.820.513/m²,nan
Apartamento en Venta La Ceja La Ceja,$ 235.000.000,"90,00 m²",3,4,nan,nan,"90,00m²",3,nan,2.611.111/m²,nan
Apartamento en Venta La Ceja LA CEJA,$ 270.000.000,"118,00 m²",2,2,nan,"118,00m²","118,00m²",4,Menosde1año,2.288.136/m²,nan
Apartamento en Venta La Ceja LA CEJA,$ 171.000.000,"85,00 m²",3,2,nan,"85,00m²","85,00m²",3,Menosde1año,2.011.765/m²,nan
Apartamento en Venta La Ceja Payuco,$ 165.000.000,"56,00 m²",2,2,1,"56,00m²","56,00m²",4,Menosde1año,2.946.429/m²,nan
Apartamento en Venta La Ceja LA CEJA,$ 260.000.000,"78,00 m²",2,3,1,"78,00m²","78,00m²",4,1a8años,3.333.333/m²,nan
Apartamento en Venta La Ceja LA CEJA,$ 250.000.000,"60,00 m²",3,2,1,"60,00m²","60,00m²",4,Menosde1año,4.166.667/m²,"$250,000"
Apartamento en Venta La Ceja PARQUE DE LA CEJA,$ 250.000.000,"78,25 m²",3,2,1,"78,00m²","78,25m²",3,1a8años,3.194.888/m²,"$65,000E"
Apartamento en Venta La Ceja LA CEJA,$ 310.000.000,"85,00 m²",3,2,1,"85,00m²","85,00m²",5,Menosde1año,3.647.059/m²,nan
Apartamento en Venta La Ceja La Ceja,$ 252.000.000,"60,00 m²",2,2,1,"60,00m²","60,00m²",4,nan,4.200.000/m²,nan
Apartamento en Venta La Ceja LA CEJA,$ 262.000.000,"80,00 m²",2,2,1,"80,00m²","80,00m²",4,1a8años,3.275.000/m²,nan
Apartamento en Venta La Ceja PIEDRA VERDE,$ 310.000.000,"84,00 m²",2,2,1,nan,"84,00m²",5,1a8años,3.690.476/m²,nan
Apartamento en Venta La Ceja La Ceja,$ 310.000.000,"85,00 m²",3,2,1,nan,"85,00m²",3,nan,3.647.059/m²,nan
Apartamento en Venta La Ceja LA CEJA,$ 235.000.000,"59,00 m²",2,2,1,"59,00m²","59,00m²",4,Menosde1año,3.983.051/m²,nan
Apartamento en Venta La Ceja LA CEJA,$ 360.000.000,"90,00 m²",3,2,1,"90,00m²","90,00m²",4,1a8años,4.000.000/m²,"$180,000"
Apartamento en Venta La Ceja El Carmelo,$ 250.000.000,"104,00 m²",2,2,1,"104,00m²","104,00m²",4,nan,2.403.846/m²,"$138,800"
PORTONOVO,Desde $ 181.027.000 Hasta $ 285.632.000,"55,36 a 89,26 m²",2,2,nan,nan,"55,36a89,26m²",4,nan,nan,nan
